time,number,latitude,longitude,cape,sp,tcw,sshf,slhf,msl,u10,v10,t2m,d2m,ssr,str,ttr,sund,skt,cin,sm,st,sd,sf,tcc,tp,mx2t6,mn2t6
2025-04-12 00:00:00,1,50.75,4.25,0.0,100823.09083019242,7.331539323470247,-141.2560084220022,312.4254662245512,101694.75134423567,-3.258666672452734,-0.152984087316538,281.067880161056,278.36916587617355,0.0,0.0,0.0,0.0,279.50317877414,,267.12726359629096,282.77921124202294,0.013680961326217322,2.220446049250313e-16,0.19379729247258126,3.552713678800501e-15,,
2025-04-12 00:00:00,2,50.75,4.25,0.0,100812.4353302916,7.172289281009803,-141.2560084220022,312.4254662245512,101682.76969728633,-2.194482719128938,-0.423245790314591,280.9501545913503,277.2512346554415,0.0,0.0,0.0,0.0,278.1686897146859,,268.7993488771338,282.49212888732467,0.008794903709711033,2.220446049250313e-16,1.695344818401857,3.552713678800501e-15,,
2025-04-12 00:00:00,3,50.75,4.25,0.0,100828.62349360246,7.296802062083692,-141.2560084220022,312.4254662245512,101698.88454802828,-2.2971103636284527,-0.3017207911404094,280.7554671533606,277.2520262045711,0.0,0.0,0.0,0.0,277.73552620185905,,270.1562487536005,282.4096112397608,0.0009772115233011025,2.220446049250313e-16,0.0,3.552713678800501e-15,,
2025-04-12 00:00:00,4,50.75,4.25,0.0,100805.1609024747,6.999505240606544,-141.2560084220022,312.4254662245512,101674.08532527267,-2.2924874967591053,-0.20617060095002215,281.0072237733406,276.8580985877307,0.0,0.0,0.0,0.0,277.62598537647466,,277.95040985503715,282.3361524157818,0.006840480663108606,2.220446049250313e-16,0.782818984554595,3.552713678800501e-15,,
2025-04-12 00:00:00,5,50.75,4.25,0.0,100811.00093607418,7.16913134815648,-141.2560084220022,312.4254662245512,101679.61174382681,-2.183850125329439,-0.3678947092657905,281.2511537626476,276.3689212256261,0.0,0.0,0.0,0.0,277.4746281364208,,282.91858656808455,282.24474065051646,0.02441185012926106,2.220446049250313e-16,0.0,3.552713678800501e-15,,
2025-04-12 00:00:00,6,50.75,4.25,0.0,100792.76363816702,7.739363794813711,-141.2560084220022,312.4254662245512,101662.9860476723,-3.8714276759847466,-0.006721174824456666,281.0365736383642,278.3422532057665,0.0,0.0,0.0,0.0,279.8272559878289,,270.8881199468129,282.68598771204057,0.005863269139807392,2.220446049250313e-16,3.058029717441343,3.552713678800501e-15,,
2025-04-12 00:00:00,7,50.75,4.25,0.0,100767.04699898334,6.781156740462478,-141.2560084220022,312.4254662245512,101635.12175244128,-2.1928647157246663,-0.5354940719945602,281.0473352555395,276.85546009063194,0.0,0.0,0.0,0.0,277.6614384236945,,278.99746645262564,282.303375944993,-1.1102230246251565e-16,2.220446049250313e-16,0.0,3.552713678800501e-15,,
2025-04-12 00:00:00,8,50.75,4.25,0.0,100834.97581085101,7.537256092201021,-141.2560084220022,312.4254662245512,101706.1757052804,-3.0890074583476808,-0.34903205036089235,280.89178097091457,277.4900186428766,0.0,0.0,0.0,0.0,278.91956707375203,,281.0648690203131,282.3603641806359,0.013680961326217322,2.220446049250313e-16,1.535118710452089,3.552713678800501e-15,,
2025-04-12 00:00:00,9,50.75,4.25,0.0,100801.1650900119,7.151988284095582,-141.2560084220022,312.4254662245512,101671.3453362416,-2.2994217970631263,-0.4612803320408616,281.2211516784013,276.8021624492376,0.0,0.0,0.0,0.0,277.7296173606557,,285.3172009166418,282.2117994738442,0.0029316345699036406,2.220446049250313e-16,1.1673616436340453,3.552713678800501e-15,,
2025-04-12 00:00:00,10,50.75,4.25,0.0,100839.89373388216,7.761018191522213,-141.2560084220022,312.4254662245512,101711.7485643266,-3.201343123272825,-0.35676264827273596,281.0362475287528,278.0739180508256,0.0,0.0,0.0,0.0,279.4663621481809,,269.109192156012,282.65024653535124,0.014639734896248702,2.220446049250313e-16,0.0,3.552713678800501e-15,,
