time,number,latitude,longitude,cape,sp,tcw,sshf,slhf,msl,u10,v10,t2m,d2m,ssr,str,ttr,sund,skt,cin,sm,st,sd,sf,tcc,tp,mx2t6,mn2t6
2024-06-01 00:00:00,1,50.75,4.25,18.092650984920297,100913.9115070127,23.133052666460546,131.60169303976,-7.450580596923828e-09,101786.43535470084,1.8915038463181042,-4.2560272753568835,285.488480997568,284.6928412425637,-7.450580596923828e-09,-3.725290298461914e-09,0.0,-2.9103830456733704e-11,284.6223293340126,,402.81815574363907,287.3091949096864,0.0,0.0,70.27367581190867,0.0,,
2024-06-01 00:00:00,2,50.75,4.25,33.70775539221292,100909.99643285635,22.400289631474905,131.60169303976,-7.450580596923828e-09,101782.30645262335,1.959838373658531,-3.937388181027897,285.6135342958734,284.54551577772156,-7.450580596923828e-09,-3.725290298461914e-09,0.0,-2.9103830456733704e-11,284.62083488029987,-2.484674017419863,398.9016510499198,287.59276957349863,0.0,0.0,61.87324618139193,0.0,,
2024-06-01 00:00:00,3,50.75,4.25,24.341192164309106,100896.06605271867,23.129936735766066,131.60169303976,-7.450580596923828e-09,101767.46206658287,1.960557684472641,-3.8666876973839956,285.89446388854554,284.6227593374131,-7.450580596923828e-09,-3.725290298461914e-09,0.0,-2.9103830456733704e-11,285.08299469096124,-2.195206344041253,403.5677610684345,287.46960627272495,0.0,0.0,65.05030240132578,0.0,,
2024-06-01 00:00:00,4,50.75,4.25,21.007595445105167,100896.88548684442,22.268381898741843,131.60169303976,-7.450580596923828e-09,101769.4609794934,1.9526452655174336,-4.401518353268713,285.5125522897301,284.731207249033,-7.450580596923828e-09,-3.725290298461914e-09,0.0,-2.9103830456733704e-11,284.8050263003937,,402.2858627116997,287.3342082069738,0.0,0.0,83.20621734117833,0.0,,
2024-06-01 00:00:00,5,50.75,4.25,25.781480906158222,100907.62917871532,22.444431982980067,131.60169303976,-7.450580596923828e-09,101781.1595353796,2.165741094197449,-4.000492744941462,285.4338802616881,284.78798893860755,-7.450580596923828e-09,-3.725290298461914e-09,0.0,-2.9103830456733704e-11,284.55134278265797,-0.9462671690144475,400.67433334894736,287.4152295394916,0.0,0.0,86.65184315511235,0.0,,
2024-06-01 00:00:00,6,50.75,4.25,9.482161239722515,100904.35144221233,22.20346667594014,131.60169303976,-7.450580596923828e-09,101777.84985990479,1.7258825313693327,-4.316210331681858,285.44943853589047,284.68695845490504,-7.450580596923828e-09,-3.725290298461914e-09,0.0,-2.9103830456733704e-11,284.7258202536191,,400.8159525959771,287.43181444312773,0.0,0.0,69.15972238224887,0.0,,
2024-06-01 00:00:00,7,50.75,4.25,13.465606241582876,100850.35983814929,24.00291665200339,131.60169303976,-7.450580596923828e-09,101720.73338116627,1.5447960339172013,-5.115534807920342,285.8354598675141,284.48438594074713,-7.450580596923828e-09,-3.725290298461914e-09,0.0,-2.9103830456733704e-11,284.99930528304844,,388.4584524370536,287.453429194588,0.0,0.0,89.9051975551599,0.0,,
2024-06-01 00:00:00,8,50.75,4.25,43.471100985007936,100873.75923485115,23.7557194835745,131.60169303976,-7.450580596923828e-09,101745.76894614403,2.2060224997875952,-4.4741665086383415,285.77939136991705,284.9616590612253,-7.450580596923828e-09,-3.725290298461914e-09,0.0,-2.9103830456733704e-11,285.0090192321812,-0.53320655644049,405.7653011085513,287.39470232269593,0.0,0.0,84.41478051417911,0.0,,
2024-06-01 00:00:00,9,50.75,4.25,48.70737849333575,100889.87477265748,23.824269958853098,131.60169303976,-7.450580596923828e-09,101761.39978972307,2.2741771994244946,-3.848184815989586,285.80639818551356,284.8726499262165,-7.450580596923828e-09,-3.725290298461914e-09,0.0,-2.9103830456733704e-11,284.96381200737113,-1.4666584919422831,404.0390113214817,287.38817711470796,0.0,0.0,87.82683512886311,0.0,,
2024-06-01 00:00:00,10,50.75,4.25,24.544269752639238,100868.02319597093,22.662547131593794,131.60169303976,-7.450580596923828e-09,101740.16543618173,1.6893775075532624,-4.075478106381962,285.5245879358111,284.83326082624137,-7.450580596923828e-09,-3.725290298461914e-09,0.0,-2.9103830456733704e-11,284.77177470528545,,399.38510985874547,287.507126218656,0.0,0.0,93.06241624826419,0.0,,
2024-06-01 00:00:00,11,50.75,4.25,8.166843321461172,100875.67124781123,21.50965277463552,131.60169303976,-7.450580596923828e-09,101748.29216408027,1.8661481401207354,-4.143451849609845,285.19786417756234,284.46520293751246,-7.450580596923828e-09,-3.725290298461914e-09,0.0,-2.9103830456733704e-11,284.2378811164132,,404.52002841915174,287.2412239931447,0.0,0.0,92.88387850679817,0.0,,
2024-06-01 00:00:00,12,50.75,4.25,20.070314268196853,100850.81507933026,22.975698166389215,131.60169303976,-7.450580596923828e-09,101722.27352717929,1.9731456237195615,-3.759176218123849,285.7080581504611,284.569558475109,-7.450580596923828e-09,-3.725290298461914e-09,0.0,-2.9103830456733704e-11,284.9350437734011,-1.4211242511861002,406.50025616641256,287.57754408819324,0.0,0.0,96.31424468470945,0.0,,
2024-06-01 00:00:00,13,50.75,4.25,16.855439831401313,100885.1402643754,22.25955342844081,131.60169303976,-7.450580596923828e-09,101757.63134735076,1.9163200694048907,-4.42411134528715,285.45296116401175,284.6043436543078,-7.450580596923828e-09,-3.725290298461914e-09,0.0,-2.9103830456733704e-11,284.4990369027125,,393.918118581166,287.4880943620243,0.0,0.0,64.79241455254153,0.0,,
2024-06-01 00:00:00,14,50.75,4.25,67.37489526675981,100852.18080287318,22.77212402768307,131.60169303976,-7.450580596923828e-09,101723.74813506412,1.7915196431568479,-4.33919285804544,285.7321294426232,284.24958598115495,-7.450580596923828e-09,-3.725290298461914e-09,0.0,-2.9103830456733704e-11,284.9996788964766,0.000194549560546875,396.5527249181505,287.5385287820983,0.0,0.0,85.23117104139553,0.0,,
