forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
2023-03-15,t2m,0 hour,12.937778726546103,13.472277627177533,13.741202669957346,14.212104534089676,15.319995704576298
2023-03-15,t2m,6 hour,10.395625693042865,11.124787680352199,11.826649586838215,12.424353042851038,12.992854394162311
2023-03-15,t2m,12 hour,13.406076629416608,14.584282301686514,15.129831055324587,15.845882663759156,16.553805384428525
2023-03-15,t2m,18 hour,12.156733754559005,12.706863970475183,12.999715266008678,13.373629007780039,14.05201752434055
2023-03-15,t2m,24 hour,9.118944998792953,9.979422110836637,10.334919430930086,10.644677605380963,11.536251298290562
2023-03-15,t2m,30 hour,7.505787223231657,8.002298480295536,8.7005374841564,9.287070323741617,10.476039035893729
2023-03-15,t2m,36 hour,13.092310618936624,14.39400443672774,14.771616558262252,15.12522694990514,15.440049640317465
2023-03-15,t2m,42 hour,10.381956783346725,11.154223764181594,11.670864773956538,12.028701885328744,12.616072521146076
2023-03-15,t2m,48 hour,6.231129316280788,6.755189728723451,7.256357925203417,7.914443091635505,9.569837873635091
2023-03-15,t2m,54 hour,3.8076867254618803,4.683795152790282,5.617447350148296,6.806061319751677,8.3799558881129
2023-03-15,t2m,60 hour,9.939834351942997,11.902277679138379,13.492430023029954,14.502540561206388,15.295616588994507
2023-03-15,t2m,66 hour,8.705609547831608,9.631170595993439,10.311219609590523,10.918735093546445,12.178735340293034
2023-03-15,t2m,72 hour,3.193861352767125,5.247835805244307,6.425656544110268,7.158237645772104,8.389639604921344
2023-03-15,t2m,78 hour,2.776661472338972,4.3704140757142795,5.692924488172366,6.528682837513173,7.480796742831852
2023-03-15,t2m,84 hour,9.809591002568624,10.789518233249197,11.645957318408563,12.453562695266356,13.330803279665172
2023-03-15,t2m,90 hour,8.788234370826615,9.543617115885496,9.987120778915084,10.45794716590936,11.176632926460972
2023-03-15,t2m,96 hour,4.891734668046668,6.840176986138587,7.493658047151172,8.038301075132992,8.919964619820043
2023-03-15,t2m,102 hour,3.5766813968252946,5.9003356634625845,6.709903445908992,7.4193885433354865,8.247938825994993
2023-03-15,t2m,108 hour,9.901642920102782,10.965681873397415,11.585877516541416,12.253246370950393,13.246600984485498
2023-03-15,t2m,114 hour,8.351304766518911,9.000332676388112,9.373189738227097,9.631321550269519,10.721098207630371
2023-03-15,t2m,120 hour,2.8117885323753398,3.9494025998158833,4.63413119597044,5.767873286230312,7.541465266375635
2023-03-15,t2m,126 hour,1.0658815664572543,2.322115504016466,3.546807545595385,4.817389687092927,7.177408838830254
2023-03-15,t2m,132 hour,8.22251812590839,10.09890242032877,12.366311123710489,12.899104241022556,13.509178399957488
2023-03-15,t2m,138 hour,7.322045678425816,9.157325123478216,9.88854763665563,10.234308405943992,11.623540608415425
2023-03-15,t2m,144 hour,3.38438829228127,4.946908455942264,5.842067312907972,7.141632675406825,9.267333052148345
2023-03-15,t2m,150 hour,2.0661498858353737,3.558581979127112,5.117939650704869,7.018529463289525,9.193931535419884
2023-03-15,t2m,156 hour,8.213732587042413,10.12652705284556,11.30555542591992,12.467148580110674,13.910158243424315
2023-03-15,t2m,162 hour,7.906834996122656,9.060412478255287,9.640076898280313,10.349109132878638,11.381606190192977
2023-03-15,t2m,168 hour,4.41742123727565,5.804177789619942,6.92169229520465,7.547926109390531,9.654198670804627
