forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
2023-03-15,t2m,0 hour,1.7548892500000122,1.9373950000000377,2.0848600000000204,2.3099900000000417,2.5388825000000095
2023-03-15,t2m,6 hour,0.45917375000004484,0.8799775000000238,1.146755000000013,1.360605000000021,1.7053110000000258
2023-03-15,t2m,12 hour,6.45877375000003,7.103635000000011,7.322275000000019,7.490800000000021,7.863306000000018
2023-03-15,t2m,18 hour,4.291308500000033,4.98327500000002,5.253475000000009,5.757957500000046,6.446113500000005
2023-03-15,t2m,24 hour,3.071944000000029,3.8959050000000417,4.5199100000000385,5.037635000000037,5.976022000000019
2023-03-15,t2m,30 hour,4.546683000000003,5.041507500000023,5.528590000000008,5.816012500000014,6.474346750000023
2023-03-15,t2m,36 hour,10.635202500000037,11.420817500000013,11.827660000000009,12.13235000000003,12.581260500000035
2023-03-15,t2m,42 hour,9.9320025,10.612460000000041,10.866370000000018,11.32210000000002,11.697761500000015
2023-03-15,t2m,48 hour,8.99123350000004,9.847195000000028,10.372040000000027,10.861135000000019,11.501082500000043
2023-03-15,t2m,54 hour,7.756676250000038,8.36138750000002,8.931115000000034,9.289405000000045,10.185992500000047
2023-03-15,t2m,60 hour,12.941665750000038,14.197140000000019,14.82018500000001,15.473505000000003,16.45592800000002
2023-03-15,t2m,66 hour,11.71526225000002,12.452360000000027,13.461465000000004,13.85641000000004,14.95847725
2023-03-15,t2m,72 hour,9.133581000000046,9.885575000000031,10.30648500000001,10.810582500000024,11.765809000000006
2023-03-15,t2m,78 hour,7.658182250000029,8.22427250000004,8.634810000000016,9.027025000000037,10.319741249999998
2023-03-15,t2m,84 hour,11.941158250000024,13.009152499999999,13.849965000000026,14.759025000000022,15.866743000000008
2023-03-15,t2m,90 hour,9.764714250000042,10.98689250000001,11.51091500000004,12.048925000000011,12.94078500000001
2023-03-15,t2m,96 hour,6.657122000000017,8.839447500000034,9.42438500000003,9.934857500000035,10.278397750000043
2023-03-15,t2m,102 hour,4.241788500000004,6.575847500000037,7.617665000000017,8.837085000000044,9.822647999999997
2023-03-15,t2m,108 hour,7.259417250000001,9.056630000000041,10.193840000000023,11.305367500000017,12.855494000000009
2023-03-15,t2m,114 hour,5.831316750000025,8.071340000000035,9.069500000000033,10.214812500000036,12.371465250000027
2023-03-15,t2m,120 hour,2.339212500000012,5.976450000000028,7.703665000000029,10.183992500000002,11.98771950000004
2023-03-15,t2m,126 hour,1.763428000000026,6.1905800000000255,7.519250000000028,10.118585000000024,11.576782750000007
2023-03-15,t2m,132 hour,8.263480000000039,9.567187500000017,11.349225000000047,12.388222500000012,14.470022500000004
2023-03-15,t2m,138 hour,7.673140000000022,9.905484999999999,10.939205000000015,11.503037500000033,12.19195800000005
2023-03-15,t2m,144 hour,4.5859040000000375,8.536327500000027,9.503735000000006,10.184077500000043,11.468036000000039
2023-03-15,t2m,150 hour,3.778734500000026,7.748180000000033,8.587410000000034,9.532580000000038,10.511269500000038
2023-03-15,t2m,156 hour,8.623234000000028,10.974632500000013,11.786020000000036,12.298517500000031,14.18325750000002
2023-03-15,t2m,162 hour,6.647753750000038,9.079865000000026,9.894050000000021,10.833905000000016,13.065303250000033
2023-03-15,t2m,168 hour,1.2426002500000424,7.379217500000024,8.230250000000012,9.577525000000023,11.543836500000042
